timestamp,emotion,confidence,posture,state
2026-05-20 14:44:37.021850,ContemptHappiness,36.34,Disengaged,Slouched
2026-05-20 14:44:37.371939,ContemptHappiness,34.67,Disengaged,Slouched
2026-05-20 14:44:37.563988,ContemptHappiness,65.24,Disengaged,Slouched
2026-05-20 14:44:38.081121,ContemptHappiness,49.9,Disengaged,Slouched
2026-05-20 14:44:38.293681,ContemptHappiness,22.12,Disengaged,Slouched
2026-05-20 14:44:38.969897,ContemptHappiness,27.44,Disengaged,Slouched
2026-05-20 14:44:39.195948,ContemptHappiness,25.85,Disengaged,Slouched
2026-05-20 14:44:39.415006,ContemptHappiness,25.27,Disengaged,Slouched
2026-05-20 14:44:39.644065,ContemptHappiness,47.19,Disengaged,Slouched
2026-05-20 14:44:40.045159,ContemptHappiness,25.24,Disengaged,Slouched
2026-05-20 14:44:40.238212,ContemptHappiness,23.32,Disengaged,Slouched
2026-05-20 14:44:40.425258,ContemptHappiness,38.64,Disengaged,Slouched
2026-05-20 14:44:40.601308,ContemptHappiness,25.7,Disengaged,Slouched
2026-05-20 14:44:40.778346,ContemptHappiness,25.21,Disengaged,Slouched
2026-05-20 14:44:42.181700,ContemptHappiness,29.5,Disengaged,Slouched
2026-05-20 14:44:42.393752,ContemptHappiness,25.97,Disengaged,Slouched
2026-05-20 14:44:42.596808,Sadness,26.64,Disengaged,Slouched
2026-05-20 14:44:42.810855,Sadness,27.05,Disengaged,Slouched
2026-05-20 14:44:43.009904,Sadness,30.31,Disengaged,Slouched
2026-05-20 14:44:43.193950,Sadness,30.07,Disengaged,Slouched
2026-05-20 14:44:43.395004,Sadness,28.97,Disengaged,Slouched
2026-05-20 14:44:43.595049,Sadness,30.69,Disengaged,Slouched
2026-05-20 14:44:43.789100,Sadness,28.86,Disengaged,Slouched
2026-05-20 14:44:43.972669,Sadness,33.45,Disengaged,Slouched
2026-05-20 14:44:44.158714,Sadness,33.17,Disengaged,Slouched
2026-05-20 14:44:44.354791,Sadness,21.99,Disengaged,Slouched
2026-05-20 14:44:44.542815,Sadness,22.12,Disengaged,Slouched
2026-05-20 14:44:44.728865,Sadness,24.02,Disengaged,Slouched
2026-05-20 14:44:44.977924,Sadness,22.99,Disengaged,Slouched
2026-05-20 14:44:45.253996,Sadness,27.47,Disengaged,Slouched
2026-05-20 14:44:45.505058,Sadness,35.7,Disengaged,Slouched
2026-05-20 14:44:45.735114,Sadness,31.99,Disengaged,Slouched
2026-05-20 14:44:45.933161,Sadness,32.16,Disengaged,Slouched
2026-05-20 14:44:46.131210,Sadness,27.63,Disengaged,Slouched
2026-05-20 14:44:46.345265,Sadness,28.2,Disengaged,Slouched
2026-05-20 14:44:46.535316,Sadness,28.81,Disengaged,Slouched
2026-05-20 14:44:46.740368,Sadness,25.68,Disengaged,Slouched
2026-05-20 14:44:46.925411,Sadness,31.84,Disengaged,Slouched
2026-05-20 14:44:47.099456,Sadness,34.72,Disengaged,Slouched
2026-05-20 14:44:47.289509,Sadness,35.65,Disengaged,Slouched
2026-05-20 14:44:47.468552,Sadness,30.02,Disengaged,Slouched
2026-05-20 14:44:47.664598,Sadness,36.21,Disengaged,Slouched
2026-05-20 14:44:47.915661,Sadness,33.99,Disengaged,Slouched
2026-05-20 14:44:48.574869,Sadness,30.97,Disengaged,Slouched
2026-05-20 14:44:49.162015,Sadness,31.86,Disengaged,Slouched
2026-05-20 14:44:49.353062,Sadness,24.18,Disengaged,Slouched
2026-05-20 14:44:49.544107,Sadness,21.92,Disengaged,Slouched
2026-05-20 14:44:49.723153,Sadness,29.4,Disengaged,Slouched
2026-05-20 14:44:49.904197,Sadness,29.81,Disengaged,Slouched
2026-05-20 14:44:50.094246,Sadness,29.95,Disengaged,Slouched
2026-05-20 14:44:50.783467,Sadness,26.42,Disengaged,Slouched
2026-05-20 14:44:50.960511,Sadness,33.56,Disengaged,Slouched
2026-05-20 14:44:51.397622,Sadness,32.46,Disengaged,Slouched
2026-05-20 14:44:51.801820,Sadness,31.26,Disengaged,Slouched
2026-05-20 14:44:52.008860,Sadness,29.33,Disengaged,Slouched
2026-05-20 14:44:52.220916,Sadness,28.83,Disengaged,Slouched
2026-05-20 14:44:52.407960,Sadness,30.68,Disengaged,Slouched
2026-05-20 14:44:52.595534,Sadness,32.09,Disengaged,Slouched
2026-05-20 14:44:52.786581,Sadness,34.14,Disengaged,Slouched
2026-05-20 14:44:52.971627,Sadness,28.62,Disengaged,Slouched
2026-05-20 14:44:53.164677,Sadness,29.85,Disengaged,Slouched
2026-05-20 14:44:53.351733,Sadness,32.57,Disengaged,Slouched
2026-05-20 14:44:53.526768,Sadness,34.66,Disengaged,Slouched
2026-05-20 14:44:53.692845,Sadness,32.48,Disengaged,Slouched
2026-05-20 14:44:53.859886,Sadness,31.0,Disengaged,Slouched
2026-05-20 14:44:54.062942,Sadness,31.97,Disengaged,Slouched
